#time magniutde filter
117.0 21.57 z
118.0 20.38 g
118.0 21.28 i
118.0 20.89 r
118.0 19.9 u
118.0 21.81 y
118.0 21.58 z
119.0 20.39 g
119.0 21.29 i
119.0 20.9 r
119.0 19.91 u
119.0 21.82 y
119.0 21.59 z
120.0 20.4 g
120.0 21.31 i
120.0 20.92 r
120.0 19.92 u
120.0 21.83 y
120.0 21.6 z
121.0 20.41 g
121.0 21.32 i
121.0 20.93 r
121.0 19.93 u
121.0 21.85 y
121.0 21.61 z
122.0 20.42 g
122.0 21.33 i
122.0 20.94 r
122.0 19.94 u
122.0 21.86 y
122.0 21.63 z
123.0 20.44 g
123.0 21.34 i
123.0 20.95 r
123.0 19.96 u
123.0 21.87 y
123.0 21.64 z
124.0 20.45 g
124.0 21.35 i
124.0 20.96 r
124.0 19.97 u
124.0 21.88 y
124.0 21.65 z
125.0 20.46 g
125.0 21.37 i
125.0 20.97 r
125.0 19.98 u
125.0 21.89 y
125.0 21.66 z
126.0 20.47 g
126.0 21.38 i
126.0 20.99 r
126.0 19.99 u
126.0 21.9 y
126.0 21.67 z
127.0 20.48 g
127.0 21.39 i
127.0 21.0 r
127.0 20.0 u
127.0 21.92 y
127.0 21.69 z
128.0 20.49 g
128.0 21.4 i
128.0 21.01 r
128.0 20.01 u
128.0 21.93 y
128.0 21.7 z
129.0 20.5 g
129.0 21.41 i
129.0 21.02 r
129.0 20.02 u
129.0 21.94 y
129.0 21.71 z
130.0 20.52 g
130.0 21.42 i
130.0 21.03 r
130.0 20.03 u
130.0 21.95 y
130.0 21.72 z
131.0 20.53 g
131.0 21.44 i
131.0 21.04 r
131.0 20.05 u
131.0 21.96 y
131.0 21.73 z
132.0 20.54 g
132.0 21.45 i
132.0 21.05 r
132.0 20.06 u
132.0 21.97 y
132.0 21.74 z
133.0 20.55 g
133.0 21.46 i
133.0 21.07 r
133.0 20.07 u
133.0 21.99 y
133.0 21.75 z
134.0 20.56 g
134.0 21.47 i
134.0 21.08 r
134.0 20.08 u
134.0 22.0 y
134.0 21.77 z
135.0 20.57 g
135.0 21.48 i
135.0 21.09 r
135.0 20.09 u
135.0 22.01 y
135.0 21.78 z
136.0 20.58 g
136.0 21.49 i
136.0 21.1 r
136.0 20.1 u
136.0 22.02 y
136.0 21.79 z
137.0 20.59 g
137.0 21.5 i
137.0 21.11 r
137.0 20.11 u
137.0 22.03 y
137.0 21.8 z
138.0 20.6 g
138.0 21.51 i
138.0 21.12 r
138.0 20.12 u
138.0 22.04 y
138.0 21.81 z
139.0 20.62 g
139.0 21.52 i
139.0 21.13 r
139.0 20.13 u
139.0 22.05 y
139.0 21.82 z
140.0 20.63 g
140.0 21.54 i
140.0 21.14 r
140.0 20.14 u
140.0 22.06 y
140.0 21.83 z
141.0 20.64 g
141.0 21.55 i
141.0 21.15 r
141.0 20.15 u
141.0 22.07 y
141.0 21.84 z
142.0 20.65 g
142.0 21.56 i
142.0 21.16 r
142.0 20.16 u
142.0 22.09 y
142.0 21.85 z
143.0 20.66 g
143.0 21.57 i
143.0 21.17 r
143.0 20.17 u
143.0 22.1 y
143.0 21.87 z
144.0 20.67 g
144.0 21.58 i
144.0 21.19 r
144.0 20.18 u
144.0 22.11 y
144.0 21.88 z
145.0 20.68 g
145.0 21.59 i
145.0 21.2 r
145.0 20.2 u
145.0 22.12 y
145.0 21.89 z
146.0 20.69 g
146.0 21.6 i
146.0 21.21 r
146.0 20.21 u
146.0 22.13 y
146.0 21.9 z
147.0 20.7 g
147.0 21.61 i
147.0 21.22 r
147.0 20.22 u
147.0 22.14 y
147.0 21.91 z
148.0 20.71 g
148.0 21.62 i
148.0 21.23 r
148.0 20.23 u
148.0 22.15 y
148.0 21.92 z
149.0 20.72 g
149.0 21.63 i
149.0 21.24 r
149.0 20.24 u
149.0 22.16 y
149.0 21.93 z
150.0 20.73 g
150.0 21.64 i
150.0 21.25 r
150.0 20.25 u
150.0 22.17 y
150.0 21.94 z
151.0 20.74 g
151.0 21.65 i
151.0 21.26 r
151.0 20.26 u
151.0 22.18 y
151.0 21.95 z
152.0 20.75 g
152.0 21.66 i
152.0 21.27 r
152.0 20.27 u
152.0 22.19 y
152.0 21.96 z
153.0 20.76 g
153.0 21.67 i
153.0 21.28 r
153.0 20.28 u
153.0 22.2 y
153.0 21.97 z
154.0 20.77 g
154.0 21.68 i
154.0 21.29 r
154.0 20.29 u
154.0 22.21 y
154.0 21.98 z
155.0 20.78 g
155.0 21.69 i
155.0 21.3 r
155.0 20.3 u
155.0 22.22 y
155.0 21.99 z
156.0 20.79 g
156.0 21.7 i
156.0 21.31 r
156.0 20.31 u
156.0 22.23 y
156.0 22.0 z
157.0 20.8 g
157.0 21.71 i
157.0 21.32 r
157.0 20.32 u
157.0 22.24 y
157.0 22.01 z
158.0 20.81 g
158.0 21.72 i
158.0 21.33 r
158.0 20.33 u
158.0 22.25 y
158.0 22.02 z
159.0 20.82 g
159.0 21.73 i
159.0 21.34 r
159.0 20.34 u
159.0 22.26 y
159.0 22.03 z
160.0 20.83 g
160.0 21.74 i
160.0 21.35 r
160.0 20.35 u
160.0 22.27 y
160.0 22.04 z
161.0 20.84 g
161.0 21.75 i
161.0 21.36 r
161.0 20.36 u
161.0 22.28 y
161.0 22.05 z
162.0 20.85 g
162.0 21.76 i
162.0 21.37 r
162.0 20.37 u
162.0 22.29 y
162.0 22.06 z
163.0 20.86 g
163.0 21.77 i
163.0 21.38 r
163.0 20.38 u
163.0 22.3 y
163.0 22.07 z
164.0 20.87 g
